N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"86,000",600,+0.70%,100,"5,134,013","5,969,783",54.73,"18,884,541",22.39,9.99,
2,SK하이닉스,"143,000",0,0.00%,"5,000","1,041,043","728,002",50.62,"3,728,500",21.89,9.53,
3,NAVER,"388,500","11,500",+3.05%,100,"638,163","164,263",56.99,"991,809",63.72,15.22,
4,삼성전자우,"76,400",900,+1.19%,100,"628,685","822,887",77.87,"1,631,477",19.89,N/A,
5,LG화학,"812,000","5,000",-0.61%,"5,000","573,210","70,592",44.05,"262,930",123.99,2.93,
6,삼성바이오로직스,"754,000","4,000",+0.53%,"2,500","498,884","66,165",10.27,"42,600",207.03,N/A,
7,현대차,"230,000","4,000",-1.71%,"5,000","491,437","213,668",30.70,"728,713",44.72,2.04,
8,카카오,"544,000","42,000",+8.37%,500,"482,782","88,747",33.49,"1,710,025",306.31,2.70,
9,삼성SDI,"642,000","13,000",-1.98%,"5,000","441,468","68,765",43.26,"319,504",78.62,4.54,
10,셀트리온,"303,500","4,500",-1.46%,"1,000","409,809","135,028",21.28,"621,992",81.65,16.68,
11,기아,"84,900",600,-0.70%,"5,000","344,153","405,363",33.93,"2,099,727",23.13,5.05,
12,POSCO,"328,500","6,000",-1.79%,"5,000","286,409","87,187",53.91,"511,182",17.88,3.61,
13,현대모비스,"297,000","7,000",-2.30%,"5,000","281,535","94,793",39.42,"334,325",18.47,4.66,
14,LG전자,"160,000","5,500",+3.56%,"5,000","261,836","163,648",30.87,"3,060,367",14.70,13.23,
15,LG생활건강,"1,561,000","10,000",+0.64%,"5,000","243,800","15,618",45.80,"15,295",34.68,17.92,
16,삼성물산,"125,500",500,+0.40%,100,"234,543","186,887",15.10,"304,939",22.95,3.81,
17,SK텔레콤,"281,500","2,500",+0.90%,500,"227,299","80,746",38.08,"237,695",15.11,6.44,
18,KB금융,"53,000","1,600",-2.93%,"5,000","220,378","415,808",68.96,"1,586,947",6.38,8.53,
19,SK이노베이션,"228,500","4,000",-1.72%,"5,000","211,284","92,466",22.40,"775,251",-9.86,-13.58,
20,SK,"279,500",0,0.00%,200,"196,657","70,360",21.21,"200,617",104.68,1.11,
21,신한지주,"37,150",150,+0.41%,"5,000","191,917","516,600",60.01,"1,043,511",5.51,8.20,
22,엔씨소프트,"870,000","15,000",-1.69%,500,"191,000","21,954",51.47,"79,785",32.52,20.83,
23,LG,"90,500","1,300",-1.42%,"5,000","156,164","172,557",35.17,"260,981",10.86,7.50,
24,삼성생명,"77,500",500,-0.64%,500,"155,000","200,000",12.90,"261,159",12.25,3.53,
25,한국전력,"23,850",150,-0.62%,"5,000","153,108","641,964",16.65,"1,715,323",7.69,2.91,
26,아모레퍼시픽,"258,500","1,500",-0.58%,500,"151,115","58,458",33.40,"62,909",507.86,0.78,
27,삼성에스디에스,"191,000","3,000",-1.55%,500,"147,792","77,378",12.21,"100,901",33.33,6.71,
28,삼성전기,"191,500","1,500",-0.78%,"5,000","143,038","74,694",34.82,"271,118",24.60,10.92,
29,포스코케미칼,"159,500","3,000",-1.85%,500,"123,554","77,463",7.26,"343,179",345.99,2.96,
30,하나금융지주,"41,100",650,-1.56%,"5,000","123,399","300,242",68.46,"733,948",4.68,8.96,
31,넷마블,"129,500","1,500",-1.15%,100,"111,293","85,940",23.68,"167,877",35.51,6.35,
32,KT&G,"80,900",300,-0.37%,"5,000","111,070","137,292",39.79,"309,413",9.48,13.22,
33,롯데케미칼,"290,500","3,000",-1.02%,"5,000","99,570","34,275",25.88,"233,002",62.84,1.22,
34,HMM,"29,150",400,+1.39%,"5,000","99,299","340,648",11.16,"6,359,351",75.91,8.93,
35,한온시스템,"18,000",300,-1.64%,100,"96,084","533,800",19.56,"796,010",86.96,5.09,
36,대한항공,"27,100",50,+0.18%,"5,000","94,259","347,821",10.48,"1,981,472",-22.87,-7.22,
37,LG디스플레이,"25,850","1,250",+5.08%,"5,000","92,495","357,816",24.18,"14,023,707",-103.40,-0.79,
38,빅히트,"259,000","11,000",+4.44%,500,"92,266","35,624",7.84,"917,280",N/A,12.52,
39,한국조선해양,"130,000","3,000",-2.26%,"5,000","92,005","70,773",18.08,"365,322",-11.03,-7.42,
40,한화솔루션,"47,150","1,000",-2.08%,"5,000","90,188","191,278",17.06,"1,751,374",25.58,5.30,
41,S-Oil,"79,600",800,-1.00%,"2,500","89,616","112,583",75.76,"411,426",-11.66,-13.07,
42,삼성화재,"188,000",500,+0.27%,500,"89,065","47,375",46.28,"50,258",12.59,4.96,
43,SK바이오사이언스,"115,500","2,500",-2.12%,500,"88,358","76,500",2.86,"519,748",215.08,13.25,
44,SK바이오팜,"102,000","1,500",-1.45%,500,"79,880","78,313",8.28,"342,717",-29.63,-135.18,
45,고려아연,"404,500","2,000",-0.49%,"5,000","76,329","18,870",22.41,"30,901",13.32,8.37,
46,금호석유,"250,500","5,500",+2.24%,"5,000","76,322","30,468",25.77,"483,848",14.39,20.18,
47,KT,"28,050",300,+1.08%,"5,000","73,242","261,112",43.08,"1,140,707",11.13,4.76,
48,우리금융지주,"10,100",50,+0.50%,"5,000","72,949","722,268",25.59,"1,527,764",5.58,5.87,
49,현대글로비스,"186,000","1,500",-0.80%,500,"69,750","37,500",32.84,"147,909",11.51,12.45,
50,기업은행,"9,060",20,-0.22%,"5,000","66,923","738,664",11.83,"1,089,212",4.52,6.44,
51,현대제철,"49,150",750,-1.50%,"5,000","65,589","133,446",20.44,"1,438,135",-15.25,-2.59,
52,미래에셋증권,"10,050",340,+3.50%,"5,000","63,849","635,316",14.93,"3,583,795",9.84,8.94,
53,CJ제일제당,"407,000","3,000",-0.73%,"5,000","61,271","15,054",24.76,"30,282",9.72,13.50,
54,한국타이어앤테크놀로지,"47,550",150,+0.32%,500,"58,903","123,875",41.81,"136,147",15.82,5.12,
55,LG유플러스,"12,650",500,+4.12%,"5,000","55,231","436,611",29.55,"4,817,623",11.83,6.46,
56,강원랜드,"25,500",150,+0.59%,500,"54,555","213,940",21.63,"460,475",-19.78,-7.92,
57,아모레G,"66,100",100,+0.15%,500,"54,505","82,458",19.63,"96,383",612.04,0.31,
58,오리온,"130,000",500,-0.38%,500,"51,397","39,536",42.69,"68,566",19.21,15.50,
59,한국금융지주,"91,000",500,-0.55%,"5,000","50,711","55,726",31.48,"350,857",6.49,16.27,
60,LG이노텍,"212,000","2,500",+1.19%,"5,000","50,174","23,667",30.01,"194,806",21.25,10.20,
61,KODEX 200,"43,190",60,+0.14%,0,"49,949","115,650",10.25,"3,653,228",N/A,N/A,
